site,distance,diam,mass_overall,mass_above,mass_below,mass_mound
7_24_1,154.9,15.748,414.1597406,10.41977824,17.06616312,386.6786432
7_24_1,155,14.605,351.6223013,9.278675094,14.95081782,327.5478239
7_24_1,156.8,6.985,70.82048825,2.981173653,4.09335463,64.52452383
7_24_1,157.5,6.858,68.05290691,2.898147813,3.963547016,61.96878035
7_24_1,158.1,12.192,237.5183719,7.026874987,10.88751992,220.0580405
7_24_1,158.7,20.066,701.1134549,15.13037049,26.11888127,659.3788542
7_24_1,160,15.748,414.1597406,10.41977824,17.06616312,386.6786432
7_24_1,160.2,9.144,127.1369956,4.512751088,6.569109306,116.7764033
7_24_1,161.6,10.668,177.7099012,5.721290411,8.611546565,163.9864079
7_24_1,163.2,26.162,1247.608994,22.76119004,41.61896522,1182.740741
7_24_1,164.5,15.113,378.735169,9.780105385,15.87609094,353.1672729
7_24_1,165.3,10.414,168.6459118,5.512953495,8.25470078,155.5096528
7_24_1,166,16.891,482.254124,11.60646464,19.30092906,451.2043511
7_24_1,167,11.684,216.5422383,6.581279401,10.10340253,200.3673079
7_24_1,167.8,14.097,325.5929817,8.786564814,14.04956877,302.9779498
7_24_1,167.2,15.113,378.735169,9.780105385,15.87609094,353.1672729
7_24_1,169,12.7,259.5448203,7.482599391,11.69674284,240.7606463
7_24_1,171,7.366,79.48176909,3.235133347,4.493529463,72.53155458
7_24_1,172,14.224,331.9990865,8.908710386,14.27261754,309.0224272
7_24_1,174,21.971,853.8068473,17.39730233,30.62888295,805.1758998
7_24_1,175,28.067,1453.426798,25.3619608,47.08695582,1380.772426
7_24_1,175.5,30.226,1707.313683,28.42663105,53.63208239,1625.586374
7_24_1,176.3,23.622,999.35618,19.44999467,34.78519964,944.4905958
7_24_1,177,28.067,1453.426798,25.3619608,47.08695582,1380.772426
7_24_1,177.5,17.78,539.1016725,12.5600243,21.12034081,505.1703527
7_24_1,178,10.16,159.8374623,5.307339329,7.904377045,147.277921
7_24_1,179.8,21.209,790.7815283,16.47724817,28.78781062,744.9492564
7_24_1,181.5,13.843,312.9825987,8.544052268,13.60801799,291.0842679
7_24_1,183,15.113,378.735169,9.780105385,15.87609094,353.1672729
7_24_1,186,18.796,608.2754634,13.68169689,23.28549468,570.9435472
7_24_1,186.1,12.192,237.5183719,7.026874987,10.88751992,220.0580405
7_24_1,186.6,8.636,112.2906334,4.132662225,5.941694309,102.9627758
7_24_1,187.5,18.161,564.5140531,12.97670859,21.92160701,529.3206245
